Subject,Set,Trial,TOD,StartTr,RT,LRT,RRT,DRT,Standard,Variable,Choice,Group,LftText,RgtText
8036_1_Y2,SetA, 34 ,52834.490,104.238,0.000,  1.311,  0.000,  2.059,   3 , 14 , 1 , 0 ," $3.50 now","$10 in 90 days"
8036_1_Y2,SetA, 35 ,52836.940,106.688,0.063,  0.000,  1.857,  3.027,   3 , 17 , 2 , 0 ,"$10 in 90 days"," $2.00 now"
8036_1_Y2,SetA, 36 ,52840.360,110.106,0.217,  0.810,  0.000,  1.512,   4 , 12 , 1 , 0 ," $4.50 now","$10 in 180 days"
8036_1_Y2,SetA, 37 ,52842.260,112.008,0.763,  1.871,  0.000,  2.667,   3 , 2 , 1 , 0 ," $9.50 now","$10 in 90 days"
8036_1_Y2,SetA, 38 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 18 , 0 , 0 ,"$10 now"," $1.50 now"
8036_1_Y2,SetA, 39 ,52845.320,115.066,0.170,  0.000,  1.247,  2.198,   3 , 9 , 2 , 0 ," $6.00 now","$10 in 90 days"
8036_1_Y2,SetA, 40 ,52847.900,117.652,0.065,  0.000,  0.751,  1.609,   4 , 1 , 2 , 0 ,"$10 in 180 days"," $10.00 now"
8036_1_Y2,SetA, 41 ,52849.900,119.652,-0.001,  1.855,  0.000,  2.495,   2 , 11 , 1 , 0 ," $5.00 now","$10 in 30 days"
8036_1_Y2,SetA, 42 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   0 , 1 , 0 , 0 ,"$10 now"," $10.00 now"
8036_1_Y2,SetA, 43 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   4 , 21 , 0 , 0 ,"$10 in 180 days"," $0.25 now"
8036_1_Y2,SetA, 44 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   1 , 21 , 0 , 0 ,"$10 in 7 days"," $0.25 now"
8036_1_Y2,SetA, 45 ,52852.790,122.535,0.158,  0.642,  0.000,  1.390,   4 , 6 , 1 , 0 ," $7.50 now","$10 in 180 days"
8036_1_Y2,SetA, 46 ,52854.570,124.316,0.265,  0.000,  1.107,  1.871,   2 , 15 , 2 , 0 ,"$10 in 30 days"," $3.00 now"
8036_1_Y2,SetA, 47 ,0.000,0.000,0.000,  0.000,  0.000,  0.000,   5 , 8 , 0 , 0 ," $6.50 now","$10 in 365 days"
8036_1_Y2,SetA, 48 ,52856.830,126.578,0.140,  0.873,  0.000,  1.544,   3 , 5 , 1 , 0 ," $8.00 now","$10 in 90 days"
8036_1_Y2,SetA, 49 ,52858.760,128.512,0.047,  5.382,  0.000,  6.240,   0 , 3 , 1 , 0 ,"$10 now"," $9.00 now"
